predicted_class1,actual_class
center,center
center,center
leanright,center
center,center
right,center
right,center
left,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
leanright,center
right,center
center,center
leanleft,center
center,center
right,center
center,center
center,center
right,center
left,center
center,center
leanright,center
center,center
center,center
center,center
center,center
leanright,center
center,center
left,center
center,center
center,center
leanright,center
center,center
leanleft,center
leanleft,center
center,center
center,center
center,center
leanright,center
center,center
center,center
leanright,center
right,center
center,center
center,center
center,center
center,center
leanleft,center
center,center
leanleft,center
center,center
leanleft,center
center,center
leanright,center
right,center
center,center
center,center
leanright,center
center,center
center,center
left,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
leanleft,center
leanright,center
left,center
left,center
center,center
leanright,center
leanright,center
leanright,center
center,center
center,center
center,center
right,center
center,center
right,center
center,center
leanright,center
left,center
left,center
center,center
leanleft,center
right,center
center,center
center,center
center,center
center,center
left,center
center,center
center,center
right,center
center,center
center,center
center,center
center,center
center,center
right,center
center,center
left,center
left,center
center,center
center,center
leanright,center
leanleft,center
center,center
left,center
center,center
center,center
center,center
center,center
center,center
leanright,center
center,center
leanright,center
right,center
center,center
left,center
center,center
center,center
center,center
right,center
left,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
right,center
leanright,center
left,center
right,center
right,center
center,center
center,center
center,center
center,center
right,center
center,center
left,center
center,center
center,center
right,center
center,center
leanright,center
leanleft,center
center,center
leanright,center
right,center
center,center
leanright,center
center,center
center,center
left,center
center,center
center,center
center,center
right,center
leanright,center
leanright,center
center,center
leanright,center
left,center
center,center
center,center
leanright,center
center,center
center,center
center,center
center,center
leanleft,center
center,center
center,center
right,center
left,center
center,center
center,center
leanleft,center
center,center
center,center
center,center
center,center
center,center
leanright,center
center,center
right,center
center,center
center,center
left,center
center,center
leanright,center
leanleft,center
center,center
center,center
right,center
leanleft,center
leanright,center
leanright,center
center,center
center,center
center,center
center,center
center,center
left,center
center,center
center,center
left,center
center,center
right,center
left,center
right,center
center,center
left,center
center,center
center,center
center,center
leanleft,center
center,center
center,center
right,center
left,center
center,center
center,center
center,center
right,center
center,center
center,center
center,center
left,center
center,center
leanright,center
leanright,center
center,center
leanright,center
center,center
center,center
leanleft,center
center,center
right,center
left,center
right,center
center,center
left,center
leanright,center
center,center
center,center
center,center
center,center
leanleft,center
leanleft,center
leanright,center
center,center
leanleft,center
leanleft,center
center,center
center,center
center,center
left,center
center,center
center,center
left,center
center,center
center,center
right,center
right,center
center,center
center,center
right,center
right,center
center,center
leanleft,center
center,center
leanleft,center
left,center
left,center
center,center
center,center
left,center
center,center
center,center
center,center
right,center
center,center
leanleft,center
center,center
leanleft,center
center,center
center,center
center,center
center,center
leanleft,center
center,center
left,center
leanleft,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
center,center
left,center
center,center
left,center
center,center
leanright,center
right,center
center,center
center,center
center,center
leanright,center
center,center
center,center
leanright,center
center,center
center,center
leanleft,center
center,center
