"","V1","V2"
"1","left","center"
"2","left","leanright"
"3","left","left"
"4","left","left"
"5","left","left"
"6","left","right"
"7","left","left"
"8","left","left"
"9","left","left"
"10","left","left"
"11","left","center"
"12","left","left"
"13","left","left"
"14","left","center"
"15","left","left"
"16","left","leanleft"
"17","left","left"
"18","left","leanright"
"19","left","left"
"20","left","left"
"21","left","right"
"22","left","left"
"23","left","leanleft"
"24","left","leanright"
"25","left","leanright"
"26","left","left"
"27","left","center"
"28","left","left"
"29","left","leanleft"
"30","left","leanright"
"31","left","leanright"
"32","left","left"
"33","left","right"
"34","left","left"
"35","left","right"
"36","left","center"
"37","left","left"
"38","left","leanleft"
"39","left","left"
"40","left","leanright"
"41","left","leanright"
"42","left","left"
"43","left","left"
"44","left","left"
"45","left","left"
"46","left","left"
"47","left","left"
"48","left","left"
"49","left","left"
"50","left","leanright"
"51","left","left"
"52","left","left"
"53","left","left"
"54","left","leanleft"
"55","left","center"
"56","left","right"
"57","left","left"
"58","left","left"
"59","left","leanleft"
"60","left","leanright"
"61","left","left"
"62","left","leanleft"
"63","left","left"
"64","left","right"
"65","left","leanright"
"66","left","left"
"67","left","left"
"68","left","left"
"69","left","right"
"70","left","right"
"71","left","left"
"72","left","left"
"73","left","leanright"
"74","left","left"
"75","left","left"
"76","left","left"
"77","left","leanleft"
"78","left","left"
"79","left","left"
"80","left","leanright"
"81","left","center"
"82","left","left"
"83","left","leanright"
"84","left","leanright"
"85","left","left"
"86","left","leanleft"
"87","left","leanright"
"88","left","right"
"89","left","left"
"90","left","leanleft"
"91","left","left"
"92","left","leanleft"
"93","left","leanleft"
"94","left","left"
"95","left","leanright"
"96","left","center"
"97","left","right"
"98","left","center"
"99","left","leanleft"
"100","left","center"
"101","left","right"
"102","left","left"
"103","left","leanright"
"104","left","left"
"105","left","left"
"106","left","leanright"
"107","left","leanleft"
"108","left","right"
"109","left","right"
"110","left","center"
"111","left","center"
"112","left","left"
"113","left","left"
"114","left","left"
"115","left","left"
"116","left","left"
"117","left","left"
"118","left","leanright"
"119","left","center"
"120","left","right"
"121","left","center"
"122","left","right"
"123","left","right"
"124","left","center"
"125","left","left"
"126","left","left"
"127","left","leanleft"
"128","left","left"
"129","left","leanleft"
"130","left","left"
"131","left","center"
"132","left","left"
"133","left","left"
"134","left","left"
"135","left","left"
"136","left","center"
"137","left","left"
"138","left","left"
"139","left","left"
"140","left","leanright"
"141","left","left"
"142","left","leanleft"
"143","left","left"
"144","left","left"
"145","left","left"
"146","left","right"
"147","left","right"
"148","left","left"
"149","left","left"
"150","left","left"
"151","left","left"
"152","left","leanleft"
"153","left","left"
"154","left","left"
"155","left","leanleft"
"156","left","left"
"157","left","left"
"158","left","right"
"159","left","left"
"160","left","left"
"161","left","leanright"
"162","left","left"
"163","left","left"
"164","left","center"
"165","left","left"
"166","left","center"
"167","left","left"
"168","left","right"
"169","left","center"
"170","left","leanleft"
"171","left","leanleft"
"172","left","left"
"173","left","left"
"174","left","left"
"175","left","left"
"176","left","leanleft"
"177","left","left"
"178","left","left"
"179","left","leanright"
"180","left","center"
"181","left","leanleft"
"182","left","leanright"
"183","left","left"
"184","left","center"
"185","left","leanright"
"186","left","center"
"187","left","left"
"188","left","left"
"189","left","left"
"190","left","left"
"191","left","left"
"192","left","left"
"193","left","left"
"194","left","left"
"195","left","left"
"196","left","left"
"197","left","left"
"198","left","center"
"199","left","left"
"200","left","left"
"201","left","left"
"202","left","center"
"203","left","right"
"204","left","center"
"205","left","left"
"206","left","leanleft"
"207","left","leanleft"
"208","left","right"
"209","left","leanright"
"210","left","leanright"
"211","left","left"
"212","left","left"
"213","left","left"
"214","left","leanleft"
"215","left","leanleft"
"216","left","left"
"217","left","left"
"218","left","left"
"219","left","center"
"220","left","left"
"221","left","left"
"222","left","left"
"223","left","left"
"224","left","leanleft"
"225","left","leanleft"
"226","left","leanright"
"227","left","left"
"228","left","left"
"229","left","left"
"230","left","right"
"231","left","left"
"232","left","left"
"233","left","leanleft"
"234","left","left"
"235","left","left"
"236","left","left"
"237","left","center"
"238","left","left"
"239","left","center"
"240","left","left"
"241","left","left"
"242","left","left"
"243","left","left"
"244","left","left"
"245","left","leanright"
"246","left","center"
"247","left","left"
"248","left","right"
"249","left","left"
"250","left","right"
"251","left","center"
"252","left","left"
"253","left","right"
"254","left","left"
"255","left","left"
"256","left","left"
"257","left","leanleft"
"258","left","right"
"259","left","leanright"
"260","left","center"
"261","left","left"
"262","left","left"
"263","left","left"
"264","left","left"
"265","left","left"
"266","left","right"
"267","left","right"
"268","left","center"
"269","left","center"
"270","left","leanleft"
"271","left","left"
"272","left","leanleft"
"273","left","leanleft"
"274","left","left"
"275","left","left"
"276","left","left"
"277","left","center"
"278","left","left"
"279","left","left"
"280","left","left"
"281","left","left"
"282","left","left"
"283","left","left"
"284","left","right"
"285","left","left"
"286","left","leanright"
"287","left","left"
"288","left","left"
"289","left","left"
"290","left","left"
"291","left","left"
"292","left","center"
"293","left","left"
"294","left","left"
"295","left","leanright"
"296","left","left"
"297","left","left"
"298","left","left"
"299","left","left"
"300","left","left"
"301","left","left"
"302","left","left"
"303","left","left"
"304","left","left"
"305","left","left"
"306","left","left"
"307","left","right"
"308","left","left"
"309","left","left"
"310","left","left"
"311","left","left"
"312","left","left"
"313","left","left"
"314","left","left"
"315","left","right"
"316","left","left"
"317","left","leanright"
"318","left","leanleft"
"319","left","left"
"320","left","left"
"321","left","left"
"322","left","left"
"323","left","left"
"324","left","left"
"325","left","leanleft"
"326","left","left"
"327","left","left"
"328","left","left"
"329","left","left"
"330","left","leanright"
"331","left","right"
"332","left","leanright"
"333","left","left"
"334","left","left"
"335","left","leanleft"
"336","left","leanright"
"337","left","left"
"338","left","leanleft"
"339","left","left"
"340","left","left"
"341","left","left"
"342","left","right"
"343","left","left"
"344","left","left"
"345","left","left"
"346","left","center"
"347","left","left"
"348","left","left"
"349","left","right"
"350","left","right"
"351","left","left"
"352","left","leanright"
"353","left","left"
"354","left","left"
"355","left","right"
"356","left","left"
"357","left","left"
"358","left","left"
"359","left","leanright"
"360","left","center"
"361","left","left"
"362","left","center"
"363","left","left"
"364","left","left"
"365","left","leanleft"
"366","left","left"
"367","left","leanright"
"368","left","left"
"369","left","right"
"370","left","leanleft"
"371","left","center"
"372","left","leanleft"
"373","left","left"
"374","left","center"
"375","left","right"
"376","left","center"
"377","left","center"
"378","left","left"
"379","left","left"
"380","left","left"
"381","left","left"
"382","left","left"
"383","left","left"
"384","left","left"
"385","left","left"
"386","left","left"
"387","left","leanright"
"388","left","left"
"389","left","left"
"390","left","left"
"391","left","right"
"392","left","left"
"393","left","right"
"394","left","left"
"395","left","left"
"396","left","leanright"
"397","left","left"
"398","left","center"
"399","left","right"
"400","left","left"
"401","left","leanleft"
"402","left","left"
"403","left","leanright"
"404","left","left"
"405","left","leanright"
"406","left","left"
"407","left","left"
"408","left","left"
"409","left","leanright"
"410","left","left"
"411","left","left"
"412","left","left"
"413","left","center"
"414","left","left"
"415","left","left"
"416","left","left"
"417","left","right"
"418","left","left"
"419","left","left"
"420","left","left"
"421","left","right"
"422","left","right"
"423","left","left"
"424","left","leanleft"
"425","left","leanright"
"426","left","leanright"
"427","left","left"
"428","left","left"
"429","left","left"
"430","left","leanright"
"431","left","left"
"432","left","left"
