"","V1","V2"
"1","left","leanleft"
"2","left","leanright"
"3","left","left"
"4","left","left"
"5","left","left"
"6","left","leanright"
"7","left","left"
"8","left","left"
"9","left","leanleft"
"10","left","left"
"11","left","right"
"12","left","left"
"13","left","left"
"14","left","left"
"15","left","left"
"16","left","leanright"
"17","left","left"
"18","left","center"
"19","left","left"
"20","left","left"
"21","left","left"
"22","left","left"
"23","left","left"
"24","left","leanleft"
"25","left","left"
"26","left","leanright"
"27","left","leanleft"
"28","left","left"
"29","left","center"
"30","left","leanleft"
"31","left","leanright"
"32","left","center"
"33","left","center"
"34","left","leanright"
"35","left","right"
"36","left","right"
"37","left","leanleft"
"38","left","left"
"39","left","left"
"40","left","leanleft"
"41","left","left"
"42","left","left"
"43","left","left"
"44","left","leanright"
"45","left","leanleft"
"46","left","leanright"
"47","left","left"
"48","left","right"
"49","left","left"
"50","left","leanright"
"51","left","leanleft"
"52","left","left"
"53","left","leanright"
"54","left","center"
"55","left","center"
"56","left","center"
"57","left","leanright"
"58","left","leanright"
"59","left","leanleft"
"60","left","leanleft"
"61","left","left"
"62","left","right"
"63","left","left"
"64","left","right"
"65","left","leanright"
"66","left","right"
"67","left","left"
"68","left","left"
"69","left","left"
"70","left","left"
"71","left","left"
"72","left","left"
"73","left","right"
"74","left","left"
"75","left","left"
"76","left","leanright"
"77","left","leanright"
"78","left","leanleft"
"79","left","left"
"80","left","left"
"81","left","left"
"82","left","left"
"83","left","leanright"
"84","left","leanleft"
"85","left","left"
"86","left","left"
"87","left","leanright"
"88","left","left"
"89","left","right"
"90","left","left"
"91","left","left"
"92","left","left"
"93","left","leanright"
"94","left","center"
"95","left","leanright"
"96","left","right"
"97","left","left"
"98","left","right"
"99","left","right"
"100","left","left"
"101","left","center"
"102","left","left"
"103","left","right"
"104","left","left"
"105","left","leanright"
"106","left","left"
"107","left","right"
"108","left","leanright"
"109","left","left"
"110","left","center"
"111","left","center"
"112","left","left"
"113","left","left"
"114","left","center"
"115","left","leanleft"
"116","left","left"
"117","left","leanright"
"118","left","center"
"119","left","leanright"
"120","left","left"
"121","left","center"
"122","left","center"
"123","left","left"
"124","left","center"
"125","left","left"
"126","left","left"
"127","left","right"
"128","left","left"
"129","left","right"
"130","left","leanright"
"131","left","left"
"132","left","leanleft"
"133","left","left"
"134","left","left"
"135","left","right"
"136","left","center"
"137","left","left"
"138","left","right"
"139","left","left"
"140","left","left"
"141","left","right"
"142","left","center"
"143","left","left"
"144","left","left"
"145","left","leanleft"
"146","left","left"
"147","left","left"
"148","left","center"
"149","left","left"
"150","left","right"
"151","left","left"
"152","left","left"
"153","left","center"
"154","left","right"
"155","left","leanright"
"156","left","right"
"157","left","left"
"158","left","left"
"159","left","right"
"160","left","right"
"161","left","right"
"162","left","leanright"
"163","left","left"
"164","left","leanleft"
"165","left","leanleft"
"166","left","center"
"167","left","right"
"168","left","left"
"169","left","left"
"170","left","leanleft"
"171","left","left"
"172","left","left"
"173","left","center"
"174","left","leanright"
"175","left","left"
"176","left","center"
"177","left","left"
"178","left","left"
"179","left","center"
"180","left","right"
"181","left","leanleft"
"182","left","leanright"
"183","left","left"
"184","left","left"
"185","left","left"
"186","left","left"
"187","left","left"
"188","left","left"
"189","left","right"
"190","left","left"
"191","left","left"
"192","left","leanright"
"193","left","left"
"194","left","leanright"
"195","left","right"
"196","left","left"
"197","left","left"
"198","left","left"
"199","left","leanleft"
"200","left","leanright"
"201","left","right"
"202","left","left"
"203","left","right"
"204","left","center"
"205","left","left"
"206","left","leanleft"
"207","left","center"
"208","left","leanleft"
"209","left","leanleft"
"210","left","leanright"
"211","left","left"
"212","left","left"
"213","left","leanleft"
"214","left","leanleft"
"215","left","right"
"216","left","left"
"217","left","left"
"218","left","left"
"219","left","left"
"220","left","leanleft"
"221","left","left"
"222","left","left"
"223","left","leanright"
"224","left","leanleft"
"225","left","left"
"226","left","leanright"
