"","V1","V2"
"1","left","right"
"2","left","leanright"
"3","left","left"
"4","left","left"
"5","left","left"
"6","left","right"
"7","left","left"
"8","left","left"
"9","left","leanleft"
"10","left","left"
"11","left","left"
"12","left","right"
"13","left","left"
"14","left","left"
"15","left","left"
"16","left","leanleft"
"17","left","left"
"18","left","left"
"19","left","left"
"20","left","left"
"21","left","left"
"22","left","left"
"23","left","leanright"
"24","left","leanleft"
"25","left","left"
"26","left","left"
"27","left","leanleft"
"28","left","left"
"29","left","leanright"
"30","left","leanleft"
"31","left","leanright"
"32","left","right"
"33","left","left"
"34","left","left"
"35","left","leanright"
"36","left","left"
"37","left","left"
"38","left","left"
"39","left","left"
"40","left","left"
"41","left","leanright"
"42","left","left"
"43","left","left"
"44","left","leanright"
"45","left","leanright"
"46","left","left"
"47","left","left"
"48","left","left"
"49","left","left"
"50","left","left"
"51","left","right"
"52","left","leanright"
"53","left","left"
"54","left","center"
"55","left","leanright"
"56","left","center"
"57","left","left"
"58","left","left"
"59","left","right"
"60","left","left"
"61","left","left"
"62","left","left"
"63","left","left"
"64","left","right"
"65","left","leanright"
"66","left","left"
"67","left","left"
"68","left","left"
"69","left","left"
"70","left","right"
"71","left","left"
"72","left","left"
"73","left","right"
"74","left","center"
"75","left","left"
"76","left","leanright"
"77","left","left"
"78","left","leanright"
"79","left","left"
"80","left","left"
"81","left","left"
"82","left","center"
"83","left","leanright"
"84","left","left"
"85","left","left"
"86","left","left"
"87","left","leanright"
"88","left","left"
"89","left","left"
"90","left","left"
"91","left","left"
"92","left","left"
"93","left","leanright"
"94","left","leanleft"
"95","left","leanleft"
"96","left","left"
"97","left","left"
"98","left","leanright"
"99","left","left"
"100","left","leanright"
"101","left","leanright"
"102","left","right"
"103","left","leanleft"
"104","left","left"
"105","left","leanright"
"106","left","left"
"107","left","leanleft"
"108","left","right"
"109","left","left"
"110","left","leanright"
"111","left","center"
"112","left","left"
"113","left","left"
"114","left","left"
"115","left","left"
"116","left","left"
"117","left","left"
"118","left","center"
"119","left","center"
"120","left","left"
"121","left","left"
"122","left","left"
"123","left","center"
"124","left","center"
"125","left","left"
"126","left","left"
"127","left","center"
"128","left","left"
"129","left","right"
"130","left","center"
"131","left","left"
"132","left","leanleft"
"133","left","left"
"134","left","left"
"135","left","right"
"136","left","center"
"137","left","left"
"138","left","right"
"139","left","leanleft"
"140","left","left"
"141","left","left"
"142","left","leanleft"
"143","left","left"
"144","left","left"
"145","left","leanright"
"146","left","left"
"147","left","left"
"148","left","left"
"149","left","left"
"150","left","right"
"151","left","left"
"152","left","left"
"153","left","center"
"154","left","leanright"
"155","left","center"
"156","left","right"
"157","left","left"
"158","left","right"
"159","left","right"
"160","left","left"
"161","left","left"
"162","left","leanright"
"163","left","left"
