"","V1","V2"
"1","left","center"
"2","left","leanright"
"3","left","left"
"4","left","left"
"5","left","left"
"6","left","center"
"7","left","left"
"8","left","left"
"9","left","left"
"10","left","left"
"11","left","center"
"12","left","left"
"13","left","center"
"14","left","center"
"15","left","left"
"16","left","leanleft"
"17","left","center"
"18","left","leanleft"
"19","left","left"
"20","left","left"
"21","left","left"
"22","left","left"
"23","left","left"
"24","left","leanright"
"25","left","leanright"
"26","left","left"
"27","left","center"
"28","left","left"
"29","left","leanleft"
"30","left","right"
"31","left","left"
"32","left","left"
"33","left","left"
"34","left","left"
"35","left","right"
"36","left","center"
"37","left","left"
"38","left","leanleft"
"39","left","left"
"40","left","leanleft"
"41","left","leanright"
"42","left","left"
"43","left","left"
"44","left","left"
"45","left","left"
"46","left","left"
"47","left","left"
"48","left","left"
"49","left","left"
"50","left","left"
"51","left","left"
"52","left","left"
"53","left","left"
"54","left","left"
"55","left","center"
"56","left","leanleft"
"57","left","center"
"58","left","leanright"
"59","left","left"
"60","left","leanright"
"61","left","left"
"62","left","leanleft"
"63","left","left"
"64","left","right"
"65","left","left"
"66","left","left"
"67","left","left"
"68","left","left"
"69","left","right"
"70","left","left"
"71","left","left"
"72","left","left"
"73","left","left"
"74","left","left"
"75","left","left"
"76","left","leanleft"
"77","left","leanleft"
"78","left","left"
"79","left","left"
"80","left","leanright"
"81","left","center"
"82","left","right"
"83","left","leanright"
"84","left","leanright"
"85","left","center"
"86","left","right"
"87","left","left"
"88","left","right"
"89","left","left"
"90","left","leanleft"
"91","left","left"
"92","left","leanleft"
"93","left","leanleft"
"94","left","left"
"95","left","center"
"96","left","left"
"97","left","left"
"98","left","center"
"99","left","right"
"100","left","center"
"101","left","right"
"102","left","leanright"
"103","left","leanright"
"104","left","left"
"105","left","left"
"106","left","left"
"107","left","leanleft"
"108","left","right"
"109","left","right"
"110","left","center"
"111","left","center"
"112","left","leanright"
"113","left","left"
"114","left","left"
"115","left","left"
"116","left","left"
"117","left","left"
"118","left","right"
"119","left","left"
"120","left","right"
"121","left","center"
"122","left","leanright"
"123","left","right"
"124","left","right"
"125","left","left"
"126","left","left"
"127","left","right"
"128","left","left"
"129","left","right"
"130","left","left"
"131","left","leanright"
"132","left","left"
"133","left","left"
"134","left","left"
"135","left","left"
"136","left","left"
"137","left","right"
"138","left","left"
"139","left","right"
"140","left","leanright"
"141","left","left"
"142","left","leanleft"
"143","left","left"
"144","left","left"
"145","left","left"
"146","left","center"
"147","left","right"
"148","left","left"
"149","left","left"
"150","left","left"
"151","left","left"
"152","left","leanleft"
"153","left","left"
"154","left","left"
"155","left","center"
"156","left","left"
"157","left","left"
"158","left","right"
"159","left","left"
"160","left","left"
"161","left","leanright"
"162","left","left"
"163","left","left"
"164","left","center"
"165","left","left"
"166","left","leanright"
"167","left","left"
"168","left","right"
"169","left","center"
"170","left","left"
"171","left","left"
"172","left","left"
"173","left","left"
"174","left","left"
"175","left","left"
"176","left","leanleft"
"177","left","left"
"178","left","left"
"179","left","left"
"180","left","center"
"181","left","left"
"182","left","left"
"183","left","left"
"184","left","right"
"185","left","right"
"186","left","center"
"187","left","left"
"188","left","left"
"189","left","left"
"190","left","left"
"191","left","left"
"192","left","left"
"193","left","left"
"194","left","left"
"195","left","left"
"196","left","left"
"197","left","left"
"198","left","center"
"199","left","left"
"200","left","left"
"201","left","left"
"202","left","center"
"203","left","leanright"
"204","left","right"
"205","left","left"
"206","left","leanleft"
"207","left","left"
"208","left","right"
"209","left","leanleft"
"210","left","leanleft"
"211","left","left"
"212","left","right"
"213","left","left"
"214","left","left"
"215","left","leanleft"
"216","left","left"
"217","left","left"
"218","left","left"
"219","left","right"
"220","left","left"
"221","left","left"
"222","left","left"
"223","left","left"
"224","left","leanright"
"225","left","leanleft"
"226","left","leanright"
"227","left","left"
"228","left","left"
"229","left","right"
"230","left","right"
"231","left","leanright"
"232","left","leanleft"
"233","left","leanleft"
"234","left","left"
"235","left","left"
"236","left","left"
"237","left","left"
"238","left","left"
"239","left","center"
"240","left","left"
"241","left","left"
"242","left","left"
"243","left","left"
"244","left","left"
"245","left","left"
"246","left","center"
"247","left","left"
"248","left","left"
"249","left","left"
"250","left","left"
"251","left","right"
"252","left","left"
"253","left","right"
"254","left","left"
"255","left","right"
"256","left","left"
"257","left","right"
"258","left","leanright"
"259","left","left"
"260","left","center"
"261","left","left"
"262","left","left"
"263","left","left"
"264","left","right"
"265","left","leanleft"
"266","left","right"
"267","left","right"
"268","left","leanright"
"269","left","center"
"270","left","right"
"271","left","left"
"272","left","leanleft"
"273","left","right"
"274","left","left"
"275","left","right"
"276","left","left"
"277","left","left"
"278","left","left"
"279","left","left"
"280","left","left"
"281","left","left"
"282","left","left"
"283","left","left"
"284","left","right"
"285","left","left"
"286","left","left"
"287","left","left"
"288","left","left"
"289","left","right"
"290","left","left"
"291","left","left"
"292","left","center"
"293","left","left"
"294","left","left"
"295","left","leanright"
"296","left","left"
"297","left","left"
"298","left","left"
"299","left","left"
"300","left","left"
"301","left","left"
"302","left","left"
"303","left","right"
"304","left","left"
"305","left","left"
"306","left","left"
"307","left","right"
"308","left","left"
"309","left","left"
"310","left","right"
"311","left","left"
"312","left","left"
"313","left","left"
"314","left","left"
"315","left","left"
"316","left","left"
"317","left","leanright"
"318","left","leanleft"
"319","left","left"
"320","left","left"
"321","left","left"
"322","left","left"
"323","left","left"
"324","left","left"
"325","left","leanleft"
"326","left","right"
"327","left","left"
"328","left","left"
"329","left","left"
"330","left","leanright"
"331","left","left"
"332","left","leanright"
"333","left","left"
"334","left","right"
"335","left","leanleft"
"336","left","leanright"
"337","left","left"
"338","left","center"
"339","left","left"
"340","left","left"
"341","left","left"
"342","left","right"
"343","left","left"
"344","left","left"
"345","left","left"
"346","left","center"
"347","left","center"
"348","left","left"
"349","left","right"
"350","left","right"
"351","left","leanleft"
"352","left","right"
"353","left","left"
"354","left","left"
"355","left","right"
"356","left","right"
"357","left","left"
"358","left","right"
"359","left","leanright"
"360","left","center"
"361","left","left"
"362","left","leanright"
"363","left","left"
"364","left","left"
"365","left","leanleft"
"366","left","left"
"367","left","right"
"368","left","left"
"369","left","right"
"370","left","leanleft"
"371","left","left"
"372","left","right"
"373","left","left"
"374","left","right"
"375","left","left"
"376","left","right"
"377","left","center"
"378","left","leanleft"
"379","left","left"
"380","left","left"
"381","left","left"
"382","left","left"
"383","left","left"
"384","left","left"
"385","left","left"
"386","left","left"
"387","left","left"
"388","left","right"
"389","left","left"
"390","left","left"
"391","left","left"
"392","left","left"
"393","left","right"
"394","left","left"
"395","left","left"
"396","left","leanleft"
"397","left","left"
"398","left","center"
"399","left","right"
"400","left","left"
"401","left","left"
"402","left","left"
"403","left","right"
"404","left","left"
"405","left","leanright"
"406","left","left"
"407","left","left"
"408","left","left"
"409","left","right"
"410","left","left"
"411","left","center"
"412","left","left"
"413","left","center"
"414","left","left"
"415","left","left"
"416","left","left"
"417","left","right"
"418","left","left"
"419","left","leanleft"
"420","left","left"
"421","left","right"
"422","left","right"
"423","left","left"
"424","left","left"
"425","left","left"
"426","left","right"
"427","left","left"
"428","left","left"
"429","left","right"
"430","left","left"
"431","left","left"
"432","left","left"
"433","left","right"
"434","left","left"
"435","left","leanright"
"436","left","left"
"437","left","leanleft"
"438","left","left"
