"","V1","V2"
"1","left","right"
"2","left","leanright"
"3","left","left"
"4","left","left"
"5","left","left"
"6","left","right"
"7","left","left"
"8","left","left"
"9","left","leanleft"
"10","left","leanright"
"11","left","right"
"12","left","right"
"13","left","leanright"
"14","left","left"
"15","left","left"
"16","left","leanleft"
"17","left","center"
"18","left","leanright"
"19","left","left"
"20","left","left"
"21","left","leanleft"
"22","left","leanright"
"23","left","leanright"
"24","left","leanright"
"25","left","left"
"26","left","left"
"27","left","left"
"28","left","left"
"29","left","leanright"
"30","left","leanleft"
"31","left","left"
"32","left","left"
"33","left","left"
"34","left","left"
"35","left","leanright"
"36","left","leanleft"
"37","left","leanright"
"38","left","left"
"39","left","left"
"40","left","left"
"41","left","leanleft"
"42","left","left"
"43","left","left"
"44","left","leanright"
"45","left","leanright"
"46","left","left"
"47","left","center"
"48","left","left"
"49","left","left"
"50","left","left"
"51","left","left"
"52","left","leanleft"
"53","left","leanright"
"54","left","leanleft"
"55","left","leanright"
"56","left","left"
"57","left","left"
"58","left","left"
"59","left","leanleft"
"60","left","left"
"61","left","left"
"62","left","right"
"63","left","left"
"64","left","left"
"65","left","leanright"
"66","left","leanright"
"67","left","left"
"68","left","left"
"69","left","left"
"70","left","left"
"71","left","left"
"72","left","left"
"73","left","left"
"74","left","leanright"
"75","left","left"
"76","left","leanright"
"77","left","leanright"
"78","left","leanright"
"79","left","left"
"80","left","leanright"
"81","left","left"
"82","left","left"
"83","left","leanright"
"84","left","left"
"85","left","left"
"86","left","leanleft"
"87","left","center"
"88","left","left"
"89","left","left"
"90","left","left"
"91","left","left"
"92","left","left"
"93","left","leanleft"
"94","left","left"
"95","left","leanleft"
"96","left","left"
"97","left","left"
"98","left","leanright"
"99","left","left"
"100","left","leanright"
"101","left","leanright"
"102","left","left"
"103","left","left"
"104","left","left"
"105","left","leanright"
"106","left","left"
"107","left","leanright"
"108","left","right"
"109","left","left"
"110","left","left"
"111","left","left"
"112","left","right"
"113","left","left"
"114","left","left"
"115","left","left"
"116","left","left"
"117","left","left"
"118","left","center"
"119","left","leanright"
"120","left","leanleft"
"121","left","left"
"122","left","left"
"123","left","leanright"
"124","left","center"
"125","left","left"
"126","left","left"
"127","left","leanright"
"128","left","leanleft"
"129","left","right"
"130","left","center"
"131","left","left"
"132","left","leanleft"
"133","left","left"
"134","left","left"
"135","left","left"
"136","left","left"
"137","left","left"
"138","left","right"
"139","left","left"
"140","left","left"
"141","left","left"
"142","left","leanleft"
"143","left","left"
"144","left","left"
"145","left","leanleft"
"146","left","left"
"147","left","left"
"148","left","leanleft"
"149","left","left"
"150","left","right"
"151","left","left"
"152","left","leanright"
"153","left","leanright"
"154","left","leanright"
"155","left","center"
"156","left","left"
"157","left","leanright"
"158","left","left"
"159","left","right"
