"","actual_class","predicted_class"
"1","left","leanright"
"2","left","leanleft"
"3","left","right"
"4","left","center"
"5","left","left"
"6","left","left"
"7","left","left"
"8","left","right"
"9","left","left"
"10","left","left"
"11","left","center"
"12","left","leanright"
"13","left","center"
"14","left","left"
"15","left","leanleft"
"16","left","leanleft"
"17","left","right"
"18","left","center"
"19","left","right"
"20","left","left"
"21","left","left"
"22","left","left"
"23","left","left"
"24","left","leanright"
"25","left","left"
"26","left","leanright"
"27","left","center"
"28","left","left"
"29","left","left"
"30","left","right"
"31","left","leanleft"
"32","left","left"
"33","left","right"
"34","left","center"
"35","left","center"
"36","left","left"
"37","left","left"
"38","left","left"
"39","left","left"
"40","left","left"
"41","left","center"
"42","left","left"
"43","left","leanright"
"44","left","left"
"45","left","left"
"46","left","left"
"47","left","leanright"
"48","left","leanleft"
"49","left","left"
"50","left","leanleft"
"51","left","left"
"52","left","left"
"53","left","left"
"54","left","center"
"55","left","leanleft"
"56","left","leanleft"
"57","left","leanleft"
"58","left","left"
"59","left","right"
"60","left","right"
"61","left","left"
"62","left","left"
"63","left","left"
"64","left","left"
"65","left","leanleft"
"66","left","center"
"67","left","left"
"68","left","left"
"69","left","leanleft"
"70","left","center"
"71","left","center"
"72","left","leanleft"
"73","left","leanleft"
"74","left","left"
"75","left","left"
"76","left","leanright"
"77","left","left"
"78","left","left"
"79","left","left"
"80","left","leanright"
"81","left","left"
"82","left","left"
"83","left","left"
"84","left","leanright"
"85","left","center"
"86","left","left"
"87","left","leanright"
"88","left","right"
"89","left","left"
"90","left","leanleft"
"91","left","leanleft"
"92","left","right"
"93","left","leanleft"
"94","left","left"
"95","left","leanleft"
"96","left","left"
"97","left","left"
"98","left","leanleft"
"99","left","right"
"100","left","left"
"101","left","left"
"102","left","left"
"103","left","leanleft"
"104","left","right"
"105","left","left"
"106","left","leanright"
"107","left","leanleft"
"108","left","left"
"109","left","leanleft"
"110","left","left"
"111","left","left"
"112","left","left"
"113","left","left"
"114","left","left"
"115","left","left"
"116","left","left"
"117","left","left"
"118","left","leanright"
"119","left","center"
"120","left","right"
"121","left","left"
"122","left","right"
"123","left","right"
"124","left","right"
"125","left","left"
"126","left","center"
"127","left","leanleft"
"128","left","left"
"129","left","left"
"130","left","left"
"131","left","leanright"
"132","left","left"
"133","left","leanleft"
"134","left","left"
"135","left","leanleft"
"136","left","left"
"137","left","left"
"138","left","leanright"
"139","left","left"
"140","left","leanright"
"141","left","left"
"142","left","leanleft"
"143","left","left"
"144","left","left"
"145","left","left"
"146","left","left"
"147","left","right"
"148","left","left"
"149","left","left"
"150","left","left"
"151","left","left"
"152","left","left"
"153","left","left"
"154","left","leanright"
"155","left","center"
"156","left","left"
"157","left","left"
"158","left","leanleft"
"159","left","left"
"160","left","left"
"161","left","leanleft"
"162","left","left"
"163","left","left"
"164","left","center"
"165","left","left"
"166","left","left"
"167","left","left"
"168","left","center"
"169","left","left"
"170","left","left"
"171","left","left"
"172","left","left"
"173","left","left"
"174","left","right"
"175","left","left"
"176","left","leanright"
"177","left","left"
"178","left","center"
"179","left","left"
"180","left","left"
"181","left","leanleft"
"182","left","left"
"183","left","left"
"184","left","left"
"185","left","left"
"186","left","right"
"187","left","left"
"188","left","left"
"189","left","left"
"190","left","left"
"191","left","left"
"192","left","right"
"193","left","left"
"194","left","left"
"195","left","left"
"196","left","leanright"
"197","left","left"
"198","left","leanleft"
"199","left","leanright"
"200","left","left"
"201","left","left"
"202","left","center"
"203","left","left"
"204","left","center"
"205","left","left"
"206","left","leanleft"
"207","left","center"
"208","left","right"
"209","left","leanleft"
"210","left","leanleft"
"211","left","left"
"212","left","left"
"213","left","left"
"214","left","leanleft"
"215","left","leanleft"
"216","left","right"
"217","left","left"
"218","left","left"
"219","left","leanleft"
"220","left","leanleft"
"221","left","left"
"222","left","left"
"223","left","left"
"224","left","leanright"
"225","left","left"
"226","left","left"
"227","left","left"
"228","left","left"
"229","left","center"
"230","left","right"
"231","left","leanright"
"232","left","leanright"
"233","left","right"
"234","left","left"
"235","left","left"
"236","left","left"
"237","left","center"
"238","left","left"
"239","left","right"
"240","left","left"
"241","left","left"
"242","left","left"
"243","left","left"
"244","left","right"
"245","left","left"
"246","left","left"
"247","left","right"
"248","left","right"
"249","left","left"
"250","left","left"
"251","left","left"
"252","left","left"
"253","left","left"
"254","left","left"
"255","left","left"
"256","left","left"
"257","left","left"
"258","left","leanright"
"259","left","leanleft"
"260","left","center"
"261","left","left"
"262","left","left"
"263","left","left"
"264","left","right"
"265","left","left"
"266","left","right"
"267","left","left"
"268","left","center"
"269","left","leanleft"
"270","left","left"
"271","left","left"
"272","left","leanleft"
"273","left","right"
"274","left","leanright"
"275","left","left"
"276","left","left"
"277","left","left"
"278","left","leanright"
"279","left","leanleft"
"280","left","center"
"281","left","left"
"282","left","left"
"283","left","left"
"284","left","leanleft"
"285","left","center"
"286","left","left"
"287","left","left"
"288","left","left"
"289","left","left"
"290","left","leanleft"
"291","left","left"
"292","left","center"
"293","left","left"
"294","left","left"
"295","left","left"
"296","left","left"
"297","left","left"
"298","left","left"
"299","left","right"
"300","left","left"
"301","left","leanleft"
"302","left","left"
"303","left","left"
"304","left","left"
"305","left","center"
"306","left","left"
"307","left","left"
"308","left","left"
"309","left","left"
"310","left","left"
"311","left","leanright"
"312","left","left"
"313","left","left"
"314","left","left"
"315","left","left"
"316","left","left"
"317","left","leanleft"
"318","left","leanleft"
"319","left","left"
"320","left","left"
"321","left","left"
"322","left","left"
