"","actual_class","predicted_class"
"1","left","right"
"2","left","leanright"
"3","left","center"
"4","left","left"
"5","left","right"
"6","left","center"
"7","left","left"
"8","left","left"
"9","left","left"
"10","left","left"
"11","left","right"
"12","left","left"
"13","left","left"
"14","left","left"
"15","left","left"
"16","left","leanleft"
"17","left","right"
"18","left","leanleft"
"19","left","left"
"20","left","left"
"21","left","left"
"22","left","left"
"23","left","left"
"24","left","leanleft"
"25","left","right"
"26","left","leanleft"
"27","left","leanleft"
"28","left","left"
"29","left","leanleft"
"30","left","leanleft"
"31","left","leanright"
"32","left","center"
"33","left","leanright"
"34","left","leanright"
"35","left","leanright"
"36","left","right"
"37","left","left"
"38","left","left"
"39","left","left"
"40","left","leanright"
"41","left","right"
"42","left","leanright"
"43","left","left"
"44","left","leanright"
"45","left","left"
"46","left","right"
"47","left","right"
"48","left","right"
"49","left","right"
"50","left","left"
"51","left","right"
"52","left","left"
"53","left","leanright"
"54","left","center"
"55","left","left"
"56","left","leanright"
"57","left","leanright"
"58","left","leanleft"
"59","left","leanleft"
"60","left","right"
"61","left","left"
"62","left","left"
"63","left","left"
"64","left","center"
"65","left","center"
"66","left","left"
"67","left","right"
"68","left","leanleft"
"69","left","left"
"70","left","left"
"71","left","left"
"72","left","left"
"73","left","right"
"74","left","left"
"75","left","left"
"76","left","left"
"77","left","leanright"
"78","left","leanleft"
"79","left","left"
"80","left","left"
"81","left","left"
"82","left","left"
"83","left","center"
"84","left","center"
"85","left","left"
"86","left","left"
"87","left","left"
"88","left","leanright"
"89","left","left"
"90","left","left"
"91","left","left"
"92","left","left"
"93","left","left"
"94","left","left"
"95","left","leanleft"
"96","left","left"
"97","left","center"
"98","left","right"
"99","left","right"
"100","left","leanright"
"101","left","center"
"102","left","leanleft"
"103","left","left"
"104","left","center"
"105","left","leanright"
"106","left","left"
"107","left","leanleft"
"108","left","leanright"
"109","left","left"
"110","left","leanright"
"111","left","leanleft"
"112","left","left"
"113","left","left"
"114","left","center"
"115","left","center"
"116","left","leanleft"
"117","left","leanright"
"118","left","left"
"119","left","left"
"120","left","leanleft"
"121","left","leanleft"
"122","left","left"
"123","left","left"
"124","left","leanright"
"125","left","left"
"126","left","left"
"127","left","right"
"128","left","left"
"129","left","right"
"130","left","right"
"131","left","left"
"132","left","left"
"133","left","left"
"134","left","right"
"135","left","right"
"136","left","left"
"137","left","left"
"138","left","left"
"139","left","left"
"140","left","left"
"141","left","left"
"142","left","leanleft"
"143","left","left"
"144","left","left"
"145","left","left"
"146","left","left"
"147","left","left"
"148","left","right"
"149","left","left"
"150","left","right"
"151","left","center"
"152","left","left"
"153","left","center"
"154","left","left"
"155","left","center"
"156","left","right"
"157","left","left"
"158","left","center"
"159","left","right"
"160","left","left"
"161","left","leanright"
