"","actual_class","predicted_class"
"1","left","right"
"2","left","leanright"
"3","left","center"
"4","left","left"
"5","left","right"
"6","left","center"
"7","left","left"
"8","left","leanleft"
"9","left","left"
"10","left","center"
"11","left","right"
"12","left","left"
"13","left","left"
"14","left","left"
"15","left","left"
"16","left","leanleft"
"17","left","right"
"18","left","leanright"
"19","left","right"
"20","left","leanleft"
"21","left","left"
"22","left","left"
"23","left","center"
"24","left","leanleft"
"25","left","right"
"26","left","leanleft"
"27","left","right"
"28","left","left"
"29","left","left"
"30","left","leanleft"
"31","left","left"
"32","left","center"
"33","left","leanright"
"34","left","leanright"
"35","left","leanright"
"36","left","right"
"37","left","left"
"38","left","left"
"39","left","left"
"40","left","leanright"
"41","left","left"
"42","left","leanright"
"43","left","left"
"44","left","right"
"45","left","leanright"
"46","left","right"
"47","left","right"
"48","left","right"
"49","left","right"
"50","left","center"
"51","left","left"
"52","left","left"
"53","left","leanright"
"54","left","right"
"55","left","center"
"56","left","leanright"
"57","left","left"
"58","left","center"
"59","left","leanright"
"60","left","right"
"61","left","left"
"62","left","left"
"63","left","left"
"64","left","right"
"65","left","left"
"66","left","left"
"67","left","center"
"68","left","left"
"69","left","right"
"70","left","left"
"71","left","left"
"72","left","left"
"73","left","right"
"74","left","left"
"75","left","left"
"76","left","center"
"77","left","leanright"
"78","left","center"
"79","left","left"
"80","left","left"
"81","left","left"
"82","left","center"
"83","left","center"
"84","left","center"
"85","left","left"
"86","left","left"
"87","left","leanleft"
"88","left","left"
"89","left","right"
"90","left","left"
"91","left","leanleft"
"92","left","left"
"93","left","leanright"
"94","left","left"
"95","left","leanright"
"96","left","left"
"97","left","center"
"98","left","leanleft"
"99","left","right"
"100","left","center"
"101","left","center"
"102","left","leanleft"
"103","left","right"
"104","left","leanright"
"105","left","left"
"106","left","left"
"107","left","leanleft"
"108","left","left"
"109","left","left"
"110","left","leanleft"
"111","left","center"
"112","left","left"
"113","left","left"
"114","left","center"
"115","left","center"
"116","left","right"
"117","left","leanright"
"118","left","center"
"119","left","left"
"120","left","leanleft"
"121","left","leanleft"
"122","left","left"
"123","left","left"
"124","left","center"
"125","left","left"
"126","left","left"
"127","left","right"
"128","left","left"
"129","left","leanright"
"130","left","right"
"131","left","center"
"132","left","left"
"133","left","left"
"134","left","right"
"135","left","right"
"136","left","left"
"137","left","left"
"138","left","left"
"139","left","right"
"140","left","left"
"141","left","right"
"142","left","leanleft"
"143","left","left"
"144","left","left"
"145","left","left"
"146","left","left"
"147","left","center"
"148","left","right"
"149","left","left"
"150","left","right"
"151","left","left"
"152","left","center"
"153","left","center"
"154","left","left"
"155","left","right"
"156","left","right"
"157","left","left"
"158","left","left"
"159","left","right"
"160","left","left"
"161","left","left"
"162","left","leanright"
"163","left","left"
