"","actual_class","predicted_class"
"1","left","left"
"2","left","leanright"
"3","left","left"
"4","left","left"
"5","left","left"
"6","left","right"
"7","left","left"
"8","left","left"
"9","left","left"
"10","left","left"
"11","left","left"
"12","left","leanright"
"13","left","center"
"14","left","left"
"15","left","left"
"16","left","left"
"17","left","left"
"18","left","left"
"19","left","left"
"20","left","left"
"21","left","left"
"22","left","left"
"23","left","left"
"24","left","left"
"25","left","left"
"26","left","left"
"27","left","left"
"28","left","left"
"29","left","left"
"30","left","leanleft"
"31","left","leanleft"
"32","left","leanright"
"33","left","left"
"34","left","leanleft"
"35","left","left"
"36","left","leanright"
"37","left","left"
"38","left","left"
"39","left","left"
"40","left","left"
"41","left","left"
"42","left","left"
"43","left","left"
"44","left","left"
"45","left","center"
"46","left","left"
"47","left","left"
"48","left","left"
"49","left","left"
"50","left","left"
"51","left","left"
"52","left","left"
"53","left","leanright"
"54","left","right"
"55","left","leanleft"
"56","left","left"
"57","left","left"
"58","left","left"
"59","left","leanleft"
"60","left","leanleft"
"61","left","left"
"62","left","left"
"63","left","left"
"64","left","left"
"65","left","left"
"66","left","left"
"67","left","left"
"68","left","left"
"69","left","left"
"70","left","right"
"71","left","left"
"72","left","left"
"73","left","left"
"74","left","left"
"75","left","left"
"76","left","leanright"
"77","left","left"
"78","left","left"
"79","left","left"
"80","left","right"
"81","left","left"
"82","left","left"
"83","left","left"
"84","left","left"
"85","left","leanleft"
"86","left","leanleft"
"87","left","leanleft"
"88","left","left"
"89","left","leanleft"
"90","left","left"
"91","left","left"
"92","left","left"
"93","left","left"
"94","left","leanright"
"95","left","leanleft"
"96","left","left"
"97","left","left"
"98","left","left"
"99","left","left"
"100","left","left"
"101","left","center"
"102","left","left"
"103","left","left"
"104","left","left"
"105","left","left"
"106","left","left"
"107","left","left"
"108","left","left"
"109","left","left"
"110","left","right"
"111","left","leanleft"
"112","left","left"
"113","left","left"
"114","left","left"
"115","left","left"
"116","left","leanleft"
"117","left","left"
"118","left","left"
"119","left","left"
"120","left","right"
"121","left","left"
"122","left","left"
"123","left","left"
"124","left","left"
"125","left","left"
"126","left","left"
"127","left","leanright"
"128","left","left"
"129","left","left"
"130","left","left"
"131","left","left"
"132","left","left"
"133","left","left"
"134","left","leanleft"
"135","left","right"
"136","left","left"
"137","left","leanleft"
"138","left","left"
"139","left","left"
"140","left","left"
"141","left","left"
"142","left","left"
"143","left","left"
"144","left","left"
"145","left","left"
"146","left","left"
"147","left","left"
"148","left","left"
"149","left","left"
"150","left","right"
"151","left","left"
"152","left","left"
"153","left","left"
"154","left","left"
"155","left","center"
"156","left","right"
"157","left","left"
"158","left","left"
"159","left","left"
"160","left","left"
"161","left","left"
"162","left","left"
"163","left","left"
"164","left","left"
"165","left","left"
"166","left","right"
"167","left","left"
"168","left","left"
"169","left","left"
"170","left","left"
"171","left","left"
"172","left","left"
"173","left","left"
"174","left","center"
"175","left","left"
"176","left","left"
"177","left","left"
"178","left","left"
"179","left","left"
"180","left","left"
"181","left","left"
"182","left","left"
"183","left","left"
"184","left","left"
"185","left","left"
"186","left","right"
"187","left","left"
"188","left","left"
"189","left","left"
"190","left","left"
"191","left","left"
"192","left","left"
"193","left","left"
"194","left","left"
"195","left","left"
"196","left","left"
"197","left","left"
"198","left","left"
"199","left","leanright"
"200","left","right"
"201","left","left"
"202","left","leanleft"
"203","left","left"
"204","left","left"
"205","left","left"
"206","left","leanleft"
"207","left","left"
"208","left","left"
"209","left","left"
"210","left","left"
"211","left","left"
"212","left","left"
"213","left","left"
"214","left","left"
"215","left","leanleft"
"216","left","left"
"217","left","left"
"218","left","left"
"219","left","left"
"220","left","leanleft"
"221","left","left"
"222","left","left"
"223","left","left"
"224","left","left"
"225","left","left"
"226","left","left"
"227","left","left"
"228","left","left"
"229","left","left"
"230","left","leanleft"
"231","left","left"
"232","left","left"
"233","left","left"
"234","left","left"
"235","left","left"
"236","left","left"
"237","left","left"
"238","left","left"
"239","left","left"
"240","left","left"
"241","left","center"
"242","left","left"
"243","left","left"
"244","left","left"
"245","left","left"
"246","left","left"
"247","left","left"
"248","left","right"
"249","left","left"
"250","left","left"
"251","left","left"
"252","left","left"
"253","left","left"
"254","left","left"
"255","left","left"
"256","left","left"
"257","left","left"
"258","left","left"
"259","left","left"
"260","left","left"
"261","left","left"
"262","left","left"
"263","left","left"
"264","left","left"
"265","left","center"
"266","left","left"
"267","left","left"
"268","left","left"
"269","left","left"
"270","left","left"
"271","left","left"
"272","left","left"
"273","left","left"
"274","left","left"
"275","left","left"
"276","left","left"
"277","left","left"
"278","left","right"
"279","left","left"
"280","left","left"
"281","left","left"
"282","left","left"
"283","left","left"
"284","left","left"
"285","left","left"
"286","left","left"
"287","left","left"
"288","left","left"
"289","left","left"
"290","left","left"
"291","left","left"
"292","left","left"
"293","left","left"
"294","left","left"
"295","left","leanleft"
"296","left","left"
"297","left","center"
"298","left","left"
"299","left","left"
"300","left","left"
"301","left","left"
"302","left","left"
"303","left","leanright"
"304","left","left"
"305","left","leanleft"
