actual_class,predicted_class,Freq
center,center,8911
leanleft,center,1913
leanright,center,2073
left,center,1024
right,center,1180
center,leanleft,1514
leanleft,leanleft,7306
leanright,leanleft,1869
left,leanleft,1065
right,leanleft,1033
center,leanright,1507
leanleft,leanright,2482
leanright,leanright,8554
left,leanright,1639
right,leanright,1237
center,left,2501
leanleft,left,2787
leanright,left,1858
left,left,10901
right,left,1785
center,right,1524
leanleft,right,1518
leanright,right,1590
left,right,1395
right,right,10834
